Horses,Provider,Reining (5) - Class 17,Level I - Sec. A (5) - Class 13 - Section A,Ranch - A (7) - Class 15 - Section A,Level I - Sec. B (5) - Class 13 - Section B,Ranch - B (6)  - Class 15 - Section B,Open (6) - Class 16,Level I - Sec.  (5) - Class 13 - Section C,Level II - Sec. A (7) - Class 14 - Section A,Rookie B - Sec. A (6) - Class 12B - Section A,Level II - Sec. B (6) - Class 14 - Section B,Beginner - Sec. A (6) - Class 11 - Section A,Rookie B - Sec. B (6) - Class 12B - Section B,Beginner - Sec. B (6) - Class 11 - Section B,Rookie A -  Sec. A Rail only (5) - Class 12A - Section A,Beginner - Sec. C (5) - Class 11 - Section C,Rookie B - Sec. C (6) - Class 12B - Section C,Beginner - Sec. D (5) - Class 11 - Section D,Rookie B - Sec. D (6) - Class 12B - Section D
Dustin,BHC,,,2,,1,,,,,,,1,,,,,,1
Fred,BHC,,,,,,1,,1,,1,1,,1,,1,,1,
Henry,BHC,2,,,,1,,,,1,,,1,,,,1,,
Hooker,BHC,,1,,1,,1,1,1,,1,,,1,1,,,,
Archie,BHC,,1,,1,,2,1,2,,1,,,,,,,,
Sheldon,BHC,,1,,1,,,1,,,,1,,1,,1,,1,
Sierra,BHC,2,,1,,,,,,1,,,,,1,,1,,
Rico,BHC,,1,,1,,,1,1,,1,,,,,,,,1
Wayne,BHC,,,,,,2,,2,,2,,,,,,,,
Rey,UWP,1,,1,,2,,,,,,1,,,1,,,,
Doughnut,UWP,,,1,,1,,,,1,,,1,,1,,1,,
Super Pete,UWP,,,1,,1,,,,1,,,1,,1,,1,,
